timestamp,medianEnergy,RunPeriod
1.5426e+09,2.6435e-06,21/10/2018
1.5426e+09,2.7406e-06,21/10/2018
1.5426e+09,2.9326e-06,21/10/2018
1.5426e+09,2.8393e-06,21/10/2018
1.5426e+09,2.8255e-06,21/10/2018
1.5426e+09,2.6204e-06,21/10/2018
1.5427e+09,3.2319e-06,21/10/2018
1.5427e+09,2.9434e-06,21/10/2018
1.5427e+09,2.7488e-06,21/10/2018
1.5427e+09,2.8222e-06,21/10/2018
1.5427e+09,2.726e-06,21/10/2018
1.5427e+09,2.8064e-06,21/10/2018
1.5427e+09,2.6938e-06,21/10/2018
1.5427e+09,2.7298e-06,21/10/2018
1.5427e+09,2.9254e-06,21/10/2018
1.5427e+09,2.9202e-06,21/10/2018
1.5427e+09,2.8775e-06,21/10/2018
1.5427e+09,2.8261e-06,21/10/2018
1.5427e+09,2.7826e-06,21/10/2018
1.5427e+09,2.8752e-06,21/10/2018
1.5427e+09,2.9448e-06,21/10/2018
1.5427e+09,2.6592e-06,21/10/2018
1.5427e+09,2.9095e-06,21/10/2018
1.5427e+09,2.687e-06,21/10/2018
1.5427e+09,2.8808e-06,21/10/2018
1.5427e+09,2.886e-06,21/10/2018
1.5427e+09,2.9551e-06,21/10/2018
1.5427e+09,2.6574e-06,21/10/2018
1.5427e+09,3.1385e-06,21/10/2018
1.5427e+09,2.9489e-06,21/10/2018
1.5427e+09,2.5757e-06,21/10/2018
1.5427e+09,2.8177e-06,21/10/2018
1.5427e+09,2.8788e-06,21/10/2018
1.5427e+09,2.7708e-06,21/10/2018
1.5427e+09,2.5174e-06,21/10/2018
1.5427e+09,2.9027e-06,21/10/2018
1.5427e+09,2.871e-06,21/10/2018
1.5427e+09,3.0681e-06,21/10/2018
1.5427e+09,2.8094e-06,21/10/2018
1.5427e+09,2.7614e-06,21/10/2018
1.5427e+09,3.0347e-06,21/10/2018
1.5427e+09,2.7046e-06,21/10/2018
1.5427e+09,2.8194e-06,21/10/2018
1.5428e+09,2.6991e-06,21/10/2018
1.5428e+09,2.8713e-06,21/10/2018
1.5428e+09,2.9092e-06,21/10/2018
1.5428e+09,2.5917e-06,21/10/2018
1.5428e+09,2.8598e-06,21/10/2018
1.5428e+09,2.7492e-06,21/10/2018
1.5428e+09,3.0074e-06,21/10/2018
1.5428e+09,2.8105e-06,21/10/2018
1.5428e+09,2.763e-06,21/10/2018
1.5428e+09,2.8927e-06,21/10/2018
1.5428e+09,2.9892e-06,21/10/2018
1.5428e+09,2.6544e-06,21/10/2018
1.5428e+09,2.9984e-06,21/10/2018
1.5428e+09,2.8923e-06,21/10/2018
1.5428e+09,2.7976e-06,21/10/2018
1.5428e+09,2.9202e-06,21/10/2018
1.5428e+09,2.8426e-06,21/10/2018
1.5428e+09,2.8678e-06,21/10/2018
1.5428e+09,2.8262e-06,21/10/2018
1.5428e+09,2.9549e-06,21/10/2018
1.5428e+09,3.1207e-06,21/10/2018
1.5428e+09,3.2205e-06,21/10/2018
1.5428e+09,2.6993e-06,21/10/2018
1.5428e+09,2.7195e-06,21/10/2018
1.5428e+09,2.6649e-06,21/10/2018
1.5428e+09,2.9748e-06,21/10/2018
1.5428e+09,2.9091e-06,21/10/2018
1.5428e+09,2.6959e-06,21/10/2018
1.5428e+09,2.8265e-06,21/10/2018
1.5428e+09,2.9026e-06,21/10/2018
1.5428e+09,2.7193e-06,21/10/2018
1.5428e+09,3.0596e-06,21/10/2018
1.5428e+09,3.4448e-06,21/10/2018
1.5428e+09,2.83e-06,21/10/2018
1.5428e+09,3.0941e-06,21/10/2018
1.5428e+09,2.779e-06,21/10/2018
1.5428e+09,3.0994e-06,21/10/2018
1.5429e+09,2.9048e-06,21/10/2018
1.5429e+09,3.2449e-06,21/10/2018
1.5429e+09,2.8306e-06,21/10/2018
1.5429e+09,2.7821e-06,21/10/2018
1.5429e+09,2.5601e-06,21/10/2018
1.5429e+09,2.8734e-06,21/10/2018
1.5429e+09,2.8648e-06,21/10/2018
1.5429e+09,3.1417e-06,21/10/2018
1.5429e+09,2.7167e-06,21/10/2018
1.5429e+09,2.6373e-06,21/10/2018
1.5429e+09,2.6402e-06,21/10/2018
1.5429e+09,2.9171e-06,21/10/2018
1.5429e+09,3.0215e-06,21/10/2018
1.5429e+09,2.8516e-06,21/10/2018
1.5429e+09,3.0653e-06,21/10/2018
1.5429e+09,3.1634e-06,21/10/2018
1.5429e+09,2.9935e-06,21/10/2018
1.5429e+09,2.7641e-06,21/10/2018
1.5429e+09,3.1157e-06,21/10/2018
1.543e+09,2.828e-06,21/10/2018
1.543e+09,2.965e-06,21/10/2018
1.543e+09,2.8553e-06,21/10/2018
1.543e+09,2.9219e-06,21/10/2018
1.543e+09,3.1588e-06,21/10/2018
1.543e+09,2.9373e-06,21/10/2018
1.5431e+09,2.6677e-06,21/10/2018
1.5431e+09,2.9956e-06,21/10/2018
1.5431e+09,2.7591e-06,21/10/2018
1.5431e+09,3.1001e-06,21/10/2018
1.5431e+09,2.6376e-06,21/10/2018
1.5431e+09,2.8758e-06,21/10/2018
1.5431e+09,2.6894e-06,21/10/2018
1.5431e+09,2.7775e-06,21/10/2018
1.5431e+09,2.9444e-06,21/10/2018
1.5431e+09,3.0716e-06,21/10/2018
1.5431e+09,2.8204e-06,21/10/2018
1.5431e+09,2.8785e-06,21/10/2018
1.5431e+09,2.8801e-06,21/10/2018
1.5431e+09,2.7285e-06,21/10/2018
1.5431e+09,2.906e-06,21/10/2018
1.5431e+09,2.8283e-06,21/10/2018
1.5431e+09,2.7639e-06,21/10/2018
